"","networktype","com_name","n"
"1",1,"CPM_K3_01",34
"2",1,"CPM_K3_02",3
"3",1,"CPM_K3_03",3
"4",1,"CPM_K3_04",5
"5",1,"CPM_K3_05",4
"6",1,"CPM_K3_06",5
"7",1,"CPM_K3_07",3
"8",1,"CPM_K3_08",4
"9",1,"CPM_K4_01",15
"10",1,"CPM_K4_02",6
"11",1,"CPM_K4_03",4
"12",1,"CPM_K4_04",4
"13",1,"CPM_K5_01",5
"14",1,"CPM_K5_02",5
"15",1,"GN_ 1",7
"16",1,"GN_ 2",12
"17",1,"GN_ 3",24
"18",1,"GN_ 4",4
"19",1,"GN_ 5",13
"20",1,"GN_ 6",10
"21",1,"GN_ 7",3
"22",1,"GN_ 8",14
"23",1,"GN_ 9",2
"24",1,"GN_10",8
"25",1,"GN_11",2
"26",1,"GN_12",13
"27",1,"GN_13",2
"28",1,"GN_14",2
"29",1,"GN_15",2
"30",1,"GN_16",3
"31",1,"GN_17",2
"32",1,"GN_18",3
"33",1,"GN_19",4
"34",2,"CPM_K3_01",48
"35",2,"CPM_K3_02",6
"36",2,"CPM_K3_03",6
"37",2,"CPM_K3_04",6
"38",2,"CPM_K3_05",3
"39",2,"CPM_K3_06",4
"40",2,"CPM_K3_07",3
"41",2,"CPM_K4_01",21
"42",2,"CPM_K4_02",7
"43",2,"CPM_K4_03",4
"44",2,"CPM_K4_04",5
"45",2,"CPM_K4_05",4
"46",2,"CPM_K5_01",10
"47",2,"CPM_K5_02",5
"48",2,"GN_ 1",13
"49",2,"GN_ 2",12
"50",2,"GN_ 3",39
"51",2,"GN_ 4",12
"52",2,"GN_ 5",7
"53",2,"GN_ 6",3
"54",2,"GN_ 7",3
"55",2,"GN_ 8",3
"56",2,"GN_ 9",15
"57",2,"GN_10",2
"58",2,"GN_11",17
"59",2,"GN_12",2
"60",2,"GN_13",2
"61",2,"GN_14",2
"62",2,"GN_15",8
"63",2,"GN_16",4
"64",2,"GN_17",2
"65",2,"GN_18",2
"66",2,"GN_19",3
"67",3,"CPM_K3_01",78
"68",3,"CPM_K3_02",13
"69",3,"CPM_K3_03",3
"70",3,"CPM_K3_04",4
"71",3,"CPM_K3_05",6
"72",3,"CPM_K3_06",3
"73",3,"CPM_K3_07",3
"74",3,"CPM_K4_01",44
"75",3,"CPM_K4_02",7
"76",3,"CPM_K4_03",4
"77",3,"CPM_K4_04",5
"78",3,"CPM_K4_05",4
"79",3,"CPM_K4_06",4
"80",3,"CPM_K5_01",29
"81",3,"CPM_K5_02",5
"82",3,"CPM_K5_03",5
"83",3,"CPM_K6_01",22
"84",3,"CPM_K7_01",10
"85",3,"CPM_K8_01",8
"86",3,"GN_ 1",55
"87",3,"GN_ 2",3
"88",3,"GN_ 3",17
"89",3,"GN_ 4",6
"90",3,"GN_ 5",10
"91",3,"GN_ 6",4
"92",3,"GN_ 7",12
"93",3,"GN_ 8",8
"94",3,"GN_ 9",15
"95",3,"GN_10",3
"96",3,"GN_11",16
"97",3,"GN_12",2
"98",3,"GN_13",2
"99",3,"GN_14",2
"100",4,"CPM_K3_01",86
"101",4,"CPM_K3_02",13
"102",4,"CPM_K3_03",7
"103",4,"CPM_K3_04",3
"104",4,"CPM_K3_05",3
"105",4,"CPM_K3_06",3
"106",4,"CPM_K3_07",4
"107",4,"CPM_K3_08",3
"108",4,"CPM_K4_01",49
"109",4,"CPM_K4_02",4
"110",4,"CPM_K4_03",8
"111",4,"CPM_K4_04",6
"112",4,"CPM_K4_05",4
"113",4,"CPM_K4_06",4
"114",4,"CPM_K4_07",6
"115",4,"CPM_K4_08",5
"116",4,"CPM_K5_01",32
"117",4,"CPM_K5_02",5
"118",4,"CPM_K5_03",5
"119",4,"CPM_K6_01",23
"120",4,"CPM_K6_02",6
"121",4,"CPM_K7_01",13
"122",4,"CPM_K8_01",8
"123",4,"CPM_K8_02",8
"124",4,"GN_ 1",53
"125",4,"GN_ 2",9
"126",4,"GN_ 3",18
"127",4,"GN_ 4",7
"128",4,"GN_ 5",17
"129",4,"GN_ 6",4
"130",4,"GN_ 7",13
"131",4,"GN_ 8",8
"132",4,"GN_ 9",18
"133",4,"GN_10",3
"134",4,"GN_11",11
"135",4,"GN_12",3
"136",4,"GN_13",2
"137",4,"GN_14",2
"138",4,"GN_15",3
